date,hors,u,v,ws,wd
2009070100,1,3.14,-3.62,4.79,139.09
2009070100,2,2.96,-3.56,4.63,140.26
2009070100,3,2.89,-3.46,4.51,140.15
2009070100,4,2.87,-3.33,4.4,139.26
2009070100,5,2.8,-3.19,4.25,138.73
2009070100,6,2.57,-3.07,4,140
2009070100,7,2.14,-2.97,3.66,144.27
2009070100,8,1.67,-2.86,3.32,149.72
2009070100,9,1.43,-2.7,3.06,152.18
2009070100,10,1.56,-2.46,2.91,147.59
2009070100,11,1.89,-2.13,2.85,138.5
2009070100,12,2.15,-1.77,2.78,129.44
2009070100,13,2.16,-1.4,2.58,122.82
2009070100,14,2.06,-1.05,2.31,117.08
2009070100,15,2.04,-0.78,2.19,110.9
2009070100,16,2.24,-0.61,2.33,105.3
2009070100,17,2.47,-0.57,2.53,102.94
2009070100,18,2.44,-0.65,2.52,104.82
2009070100,19,1.97,-0.84,2.15,113.07
2009070100,20,1.29,-1.09,1.69,130.19
2009070100,21,0.7,-1.32,1.49,152.01
2009070100,22,0.43,-1.46,1.52,163.55
2009070100,23,0.37,-1.51,1.56,166.09
2009070100,24,0.34,-1.49,1.52,167.14
2009070100,25,0.18,-1.39,1.4,172.8
2009070100,26,-0.1,-1.23,1.23,184.53
2009070100,27,-0.42,-1.02,1.1,202.31
2009070100,28,-0.72,-0.76,1.04,223.41
2009070100,29,-0.91,-0.47,1.02,242.58
2009070100,30,-0.91,-0.18,0.92,258.76
2009070100,31,-0.67,0.1,0.67,278.18
2009070100,32,-0.36,0.33,0.48,312.51
2009070100,33,-0.19,0.48,0.52,338.1
2009070100,34,-0.3,0.54,0.62,330.91
2009070100,35,-0.41,0.51,0.65,321.1
2009070100,36,-0.16,0.41,0.44,338.42
2009070100,37,0.67,0.26,0.72,68.95
2009070100,38,1.8,0.08,1.8,87.48
2009070100,39,2.79,-0.12,2.79,92.38
2009070100,40,3.32,-0.31,3.33,95.36
2009070100,41,3.43,-0.5,3.47,98.34
2009070100,42,3.3,-0.69,3.37,101.82
2009070100,43,3.04,-0.87,3.16,105.88
2009070100,44,2.78,-1.01,2.96,110.01
2009070100,45,2.59,-1.1,2.82,113.08
2009070100,46,2.53,-1.15,2.78,114.4
2009070100,47,2.47,-1.25,2.77,116.94
2009070100,48,2.21,-1.55,2.71,125.06
2009070112,1,2.25,-1.78,2.87,128.33
2009070112,2,2.35,-1.77,2.94,127.01
2009070112,3,2.45,-1.69,2.98,124.49
2009070112,4,2.54,-1.56,2.98,121.56
2009070112,5,2.56,-1.44,2.94,119.26
2009070112,6,2.49,-1.37,2.84,118.79
2009070112,7,2.29,-1.39,2.67,121.23
2009070112,8,1.95,-1.43,2.42,126.37
2009070112,9,1.47,-1.43,2.05,134.18
2009070112,10,0.9,-1.32,1.6,145.71
2009070112,11,0.36,-1.09,1.15,161.69
2009070112,12,0.01,-0.75,0.75,178.95
2009070112,13,-0.03,-0.31,0.31,186.13
2009070112,14,0.12,0.09,0.15,52.56
2009070112,15,0.31,0.32,0.44,43.88
2009070112,16,0.4,0.29,0.5,54.62
2009070112,17,0.35,0.09,0.36,74.88
2009070112,18,0.11,-0.11,0.15,135.09
2009070112,19,-0.33,-0.19,0.38,240.56
2009070112,20,-0.85,-0.12,0.86,262.28
2009070112,21,-1.3,0.12,1.3,275.38
2009070112,22,-1.53,0.49,1.6,287.86
2009070112,23,-1.42,0.79,1.63,299.13
2009070112,24,-0.86,0.78,1.16,312.01
2009070112,25,0.19,0.29,0.35,32.75
2009070112,26,1.43,-0.46,1.51,107.76
2009070112,27,2.51,-1.18,2.77,115.07
2009070112,28,3.13,-1.63,3.53,117.55
2009070112,29,3.36,-1.92,3.87,119.69
2009070112,30,3.34,-2.18,3.99,123.06
2009070112,31,3.21,-2.52,4.08,128.1
2009070112,32,3.01,-2.84,4.14,133.33
2009070112,33,2.78,-3,4.09,137.15
2009070112,34,2.55,-2.88,3.85,138.55
2009070112,35,2.29,-2.54,3.42,137.98
2009070112,36,1.98,-2.05,2.85,136.08
2009070112,37,1.62,-1.52,2.22,133.11
2009070112,38,1.36,-1.06,1.72,127.91
2009070112,39,1.37,-0.81,1.59,120.76
2009070112,40,1.76,-0.88,1.96,116.62
2009070112,41,2.37,-1.19,2.65,116.63
2009070112,42,2.99,-1.63,3.4,118.6
2009070112,43,3.43,-2.09,4.02,121.35
2009070112,44,3.71,-2.47,4.45,123.64
2009070112,45,3.86,-2.65,4.69,124.45
2009070112,46,3.95,-2.59,4.72,123.2
2009070112,47,4.04,-2.43,4.72,121.02
2009070112,48,4.2,-2.39,4.84,119.66
2009070200,1,0.32,-1.13,1.18,164.02
2009070200,2,-0.04,-0.91,0.91,182.25
2009070200,3,-0.09,-0.6,0.61,188.3
2009070200,4,0.06,-0.27,0.28,167.07
2009070200,5,0.27,-0.02,0.27,93.85
2009070200,6,0.39,0.04,0.39,83.91
2009070200,7,0.3,-0.15,0.34,116.49
2009070200,8,0.09,-0.45,0.46,169.02
2009070200,9,-0.15,-0.66,0.68,192.96
2009070200,10,-0.31,-0.66,0.74,205.3
2009070200,11,-0.31,-0.61,0.69,207.14
2009070200,12,-0.07,-0.73,0.73,185.46
2009070200,13,0.45,-1.17,1.26,158.93
2009070200,14,1.13,-1.81,2.13,147.99
2009070200,15,1.8,-2.41,3,143.3
2009070200,16,2.32,-2.81,3.64,140.54
2009070200,17,2.67,-3.04,4.05,138.68
2009070200,18,2.87,-3.15,4.26,137.66
2009070200,19,2.92,-3.2,4.34,137.62
2009070200,20,2.83,-3.22,4.29,138.67
2009070200,21,2.6,-3.21,4.13,141.01
2009070200,22,2.24,-3.17,3.88,144.78
2009070200,23,1.85,-3.07,3.59,149.01
2009070200,24,1.53,-2.87,3.25,151.97
2009070200,25,1.38,-2.54,2.89,151.54
2009070200,26,1.44,-2.19,2.62,146.58
2009070200,27,1.76,-1.94,2.62,137.73
2009070200,28,2.34,-1.91,3.02,129.18
2009070200,29,2.98,-2.05,3.62,124.45
2009070200,30,3.47,-2.3,4.17,123.5
2009070200,31,3.66,-2.61,4.5,125.48
2009070200,32,3.64,-2.93,4.67,128.76
2009070200,33,3.59,-3.2,4.81,131.72
2009070200,34,3.64,-3.39,4.98,132.98
2009070200,35,3.83,-3.48,5.17,132.21
2009070200,36,4.17,-3.43,5.4,129.43
2009070200,37,4.62,-3.25,5.65,125.11
2009070200,38,5.03,-3.06,5.89,121.37
2009070200,39,5.17,-3.01,5.98,120.24
2009070200,40,4.92,-3.18,5.86,122.89
2009070200,41,4.39,-3.4,5.55,127.74
2009070200,42,3.77,-3.43,5.09,132.31
2009070200,43,3.2,-3.13,4.48,134.39
2009070200,44,2.7,-2.72,3.83,135.23
2009070200,45,2.24,-2.5,3.36,138.12
2009070200,46,1.81,-2.68,3.23,145.93
2009070200,47,1.47,-3.14,3.47,154.94
2009070200,48,1.29,-3.68,3.9,160.74
2009070212,1,2.23,-1.54,2.71,124.62
2009070212,2,2.87,-2.42,3.76,130.14
2009070212,3,3.11,-2.91,4.26,133.11
2009070212,4,3.05,-3.1,4.35,135.44
2009070212,5,2.84,-3.1,4.21,137.56
2009070212,6,2.61,-3.05,4.02,139.41
2009070212,7,2.49,-3.03,3.92,140.61
2009070212,8,2.44,-3.01,3.88,141.02
2009070212,9,2.42,-2.95,3.81,140.65
2009070212,10,2.38,-2.79,3.66,139.55
2009070212,11,2.33,-2.57,3.47,137.8
2009070212,12,2.29,-2.34,3.27,135.56
2009070212,13,2.29,-2.15,3.14,133.11
2009070212,14,2.4,-2.07,3.17,130.69
2009070212,15,2.69,-2.16,3.46,128.78
2009070212,16,3.21,-2.47,4.05,127.66
2009070212,17,3.81,-2.85,4.76,126.82
2009070212,18,4.34,-3.12,5.35,125.69
2009070212,19,4.67,-3.15,5.64,124.02
2009070212,20,4.83,-3.11,5.74,122.75
2009070212,21,4.89,-3.19,5.84,123.14
2009070212,22,4.9,-3.55,6.05,125.91
2009070212,23,4.88,-4.04,6.34,129.62
2009070212,24,4.82,-4.45,6.56,132.73
2009070212,25,4.71,-4.62,6.59,134.42
2009070212,26,4.58,-4.59,6.48,135.07
2009070212,27,4.44,-4.47,6.3,135.17
2009070212,28,4.32,-4.35,6.13,135.23
2009070212,29,4.18,-4.29,5.99,135.76
2009070212,30,3.97,-4.32,5.87,137.36
2009070212,31,3.68,-4.45,5.77,140.38
2009070212,32,3.29,-4.58,5.63,144.3
2009070212,33,2.79,-4.56,5.34,148.56
2009070212,34,2.21,-4.33,4.86,152.97
2009070212,35,1.69,-4.06,4.4,157.36
2009070212,36,1.42,-4,4.25,160.48
2009070212,37,1.51,-4.32,4.58,160.79
2009070212,38,1.85,-4.82,5.17,158.98
2009070212,39,2.31,-5.22,5.71,156.18
2009070212,40,2.73,-5.32,5.98,152.88
2009070212,41,3.03,-5.18,6.01,149.66
2009070212,42,3.16,-4.95,5.87,147.39
2009070212,43,3.09,-4.72,5.64,146.79
2009070212,44,2.94,-4.52,5.39,147
2009070212,45,2.86,-4.34,5.2,146.55
2009070212,46,2.99,-4.17,5.13,144.33
2009070212,47,3.26,-4.09,5.23,141.38
2009070212,48,3.57,-4.15,5.47,139.35
2009070300,1,2.39,-1.92,3.06,128.81
2009070300,2,2.53,-1.73,3.07,124.34
2009070300,3,3,-2.14,3.68,125.48
2009070300,4,3.66,-2.93,4.69,128.64
2009070300,5,4.35,-3.8,5.78,131.16
2009070300,6,4.89,-4.45,6.61,132.29
2009070300,7,5.15,-4.64,6.93,132.05
2009070300,8,5.18,-4.56,6.9,131.35
2009070300,9,5.07,-4.45,6.75,131.26
2009070300,10,4.92,-4.53,6.68,132.63
2009070300,11,4.78,-4.75,6.74,134.85
2009070300,12,4.7,-5.03,6.88,136.97
2009070300,13,4.71,-5.28,7.08,138.27
2009070300,14,4.75,-5.44,7.22,138.92
2009070300,15,4.7,-5.46,7.2,139.26
